NAME,Original Name,Type_name,Type_ID,Industry ,Specialities,Description,Founded,Is_Corprate,Websites,
Mount Sinai,Mount Sinai Health System,Healthcare Provider,3,Healthcare,"['Acupuncture', 'Adolescent Medicine', 'Allergy and Immunology', 'Anesthesiology', 'Breast Cancer', 'Cancer (Oncology)', 'Cardiology', 'Cardiovascular Surgery', 'Dentistry', 'Ear', 'Nose', 'Throat (Otolaryngology)', 'Endocrinology', 'Diabetes and Metabolism', 'Gastroenterology', 'Genetics and Genomics', 'Geriatric Medicine', 'Hematology', 'Infectious Disease', 'Internal Medicine', 'Nephrology', 'Neurological/Neurosurgery', 'Neurology', 'Obstetrics and Gynecology', 'Occupational Medicine', 'Ophthalmology', 'Orthopedic Surgery', 'Pain Management', 'Pediatrics', 'Plastic and Reconstructive Surgery', 'Podiatry', 'Preventive Medicine', 'Primary Care (Internal Medicine)', 'Psychology-PhD', 'Pulmonology/Sleep Medicine', 'Radiology', 'Rehabilitation and Physical Medicine', 'Rheumatology', 'Spine', 'Surgery', 'Transplant', 'Urology.']","Mount Sinai Health System is a prominent healthcare provider in New York City, offering a wide range of medical services and specialties to meet diverse healthcare needs. With over 42,000 employees, including more than 7,400 primary care physicians and specialists, it provides comprehensive patient care across multiple locations. The system is affiliated with the Icahn School of Medicine, emphasizing clinical research, education, and groundbreaking healthcare initiatives. Services include preventive care, specialized treatments, and urgent care options, alongside facilities dedicated to surgical, oncological, and reproductive health. Mount Sinai is also recognized for its commitment to diversity, equity, and inclusion in patient and community services.",none,TRUE,https://www.mountsinai.org/,
Halle Berry's Respin,RESPIN,Consumer Health,202,Women's Health and Wellness,"['Menopause empowerment', ""women's health products""]","RESPIN is a health and wellness startup focused on empowering women navigating menopause. Founded by actress Halle Berry, RESPIN aims to break the stigma surrounding menopause and provide resources that promote physical, mental, and spiritual well-being during this natural transition. The company is set to launch new products in collaboration with Joylux, which are scientifically backed and designed to address women's health issues that have often been overlooked. RESPIN encourages open conversations about menopause and seeks to inspire women by sharing knowledge and experiences related to this essential phase of life.",none,TRUE,https://re-spin.com/,
NeuroNet,NeuroNet GPO,Healthcare Provider,3,Healthcare / Neurology,"['Neurology practice management', 'group purchasing organization', 'infusion management services', 'in-office pharmacy', 'inventory management', 'revenue cycle management analytics', 'managed care and practice management consulting.']","NeuroNet GPO is a pioneering group purchasing organization dedicated to supporting the vibrancy and long-term viability of neurology practices. The organization addresses the unprecedented pressures faced by neurologists in a complex financial, operational, and regulatory environment. NeuroNet GPO not only provides neurology-specific practice management expertise and partnerships to support member clinics but also focuses on harnessing the collective power of its community. Members gain access to therapies, competitively priced pharmaceuticals, supplies, and services designed to enhance financial and operational performance. Services include infusion management, in-office pharmacy, inventory management, revenue cycle management analytics, and consulting.",None,TRUE,https://neuronetgpo.com/,
NeuroNet,NeuroNet GPO,Healthcare Provider,3,Healthcare / Neurology,"['Group Purchasing Organization', 'Neurology Practice Management', 'Infusion Management', 'In-office Pharmacy', 'Revenue Cycle Management']","NeuroNet GPO is a pioneering group purchasing organization dedicated to supporting the vibrancy and long-term viability of neurology practices. It addresses the unprecedented practice pressures neurologists face as they navigate complex financial, operational, and regulatory environments. Founded by neurology practice leaders, NeuroNet provides neurology-specific practice management expertise and partnerships to support member clinics. Their services include infusion management services, in-office pharmacy, inventory management, revenue cycle management analytics, and managed care and practice management consulting. The organization aims to harness the collective power of the neurology community to improve financial and operational performance, ensuring that practices realize the full benefits of innovations in therapies and care delivery models for their patients and communities.",None,TRUE,https://neuronetgpo.com/,
LAKE,LAKE (LAK3),Web3,168,Water Economy / Blockchain Technology,"['Decentralized water economy', 'Real World Asset ecosystem', 'tokenization of water', 'blockchain technology']","LAKE is a Real World Asset (RWA) ecosystem that leverages blockchain technology to decentralize the water industry. The company introduces the LAK3 token, a native ERC-20 cryptocurrency, which serves as a universal medium for transactions within the water economy. LAKE's innovative Spring to Consumer (S2C) model connects water sources directly with consumers, thus streamlining the supply chain. Additionally, its Community to Business (C2B) model democratizes access, allowing individuals to engage in large-scale water sales. The platform also provides investment opportunities via the LAKE Launchpad, enabling LAK3 token holders to gain equity in global water projects. Through its community initiatives, such as the cLAKE program and the Droplet Loyalty Program, LAKE invites participants to earn rewards and engage more deeply in the water economy.",none,TRUE,https://lak3.io/,
Neonode,Neonode,Tech,14,Technology (Optical Sensing and Touchless Interaction),"['Optical sensing technologies', 'touchless interaction', 'object detection', 'machine perception']",,none,TRUE,https://neonode.com/,
"Massachusetts Cancer Center, Cleveland Clinic",Massachusetts General Hospital,Healthcare Provider,3,Healthcare / Medical Services,"['Cancer treatment', 'medical oncology', 'radiation oncology', 'surgical oncology', 'clinical trials', 'proton therapy', 'supportive care']","Massachusetts General Hospital, through its Mass General Cancer Center, provides expert care for all types of cancer, including rare and complex cases. It offers cutting-edge research and treatment options such as targeted therapies, immunotherapies, and proton therapy, which is unique to New England. The center is recognized for its collaborative approach, ensuring that patients receive personalized care from a multidisciplinary team of specialists including oncologists, surgeons, and support staff. Mass General is affiliated with the largest hospital-based research program in the United States, emphasizing its commitment to advancing cancer treatment and care.",none,TRUE,https://www.massgeneral.org/cancer/,
Rock the Vote,Rock the Vote,Non-Profit Group,146,Nonprofit / Civic Engagement,"['Voter registration', 'election information', 'civic engagement', 'political activism', 'youth outreach']","Rock the Vote is a nonpartisan nonprofit organization dedicated to building the political power of young people. For over 30 years, it has utilized pop culture, music, art, and technology to engage young individuals in the political process. Rock the Vote offers a variety of services including voter registration, resources on how to vote in various states, election reminders, and educational content about democracy. The organization also encourages community involvement through programs designed to help register voters and foster civic engagement.",none,TRUE,https://www.rockthevote.org/,
Janus Healthcare Partners,Janus Healthcare Partners,Healthcare Provider,3,Healthcare,"['Behavioral Health Integration', 'Collaborative Care', 'Value-Based Care']","Janus Healthcare Partners is a healthcare organization that focuses on integrating behavioral health with primary care to enhance patient outcomes and satisfaction. Their services include a data-driven approach to behavioral health integration, advanced technology and expertise to support healthcare providers, and a proprietary platform designed to facilitate collaborative care. The company aims to improve the quality of life for patients through a whole-patient approach, reducing hospitalizations, and achieving better health management for conditions like depression and blood sugar levels. Janus Healthcare Partners is committed to working with providers to ensure adherence to the Collaborative Care Model, emphasizing the importance of mental and physical health interconnection in delivering high-quality patient care experiences.",none,TRUE,https://janushcp.com/,
Rosman Search,RosmanSearch,Recruitment,136,Healthcare Recruitment,"['Neurosurgery', 'Neurology', 'Urology', 'Gastroenterology', 'Locum Tenens']","RosmanSearch is a specialized recruitment firm focused on the fields of neurosurgery, neurology, urology, and gastroenterology. The company aims to provide expert recruitment services with high integrity. It has developed a team of specially-trained recruiters knowledgeable about various subspecialties, employment structures, and regional differences in the healthcare landscape. RosmanSearch offers staffing solutions including permanent placements and locum tenens services. Their dedicated database team continually researches residency programs, fellowships, and medical facilities to maintain accurate market trends and ensure they identify the right candidates for their clients.",none,TRUE,https://www.rosmansearch.com/pages/Meet-Our-Team.html,
Ascend Imaging,Ascend Medical Diagnostic Imaging Center,Healthcare Provider,3,Healthcare (Medical Diagnostic Imaging),"['Diagnostic Imaging', 'MRI', 'CT Scan', 'Ultrasound', 'X-Ray', 'Fluoroscopy', 'Pulmonary Function Test', 'Screening Services', 'Cardiovascular Screenings', 'AI Add-ons']","Ascend Medical Diagnostic Imaging Center is dedicated to providing advanced diagnostic imaging services in Southfield, MI. The center focuses on early detection for improved health outcomes, offering a range of services including MRI, CT scans, ultrasounds, X-rays, and comprehensive screening services such as cardiovascular screenings and specialized tests like the Galleri Cancer Test. With a commitment to precision and patient comfort, Ascend Imaging leverages cutting-edge AI technology to enhance diagnostic accuracy. The center prioritizes transparent pricing and quality care, allowing patients to manage their healthcare choices without hidden fees. Ascend Imaging also supports first responders through specialized screenings and education, ensuring exceptional care for those who serve the community.",none,TRUE,https://ascendimagingcenter.com/,
"Wisconsin Hospice & Palliative Care Collaborative, Agrace, Rainbow Hospice Care, Unity Hospice, Adoray Home Health & Hospice, Hospice Alliance, Sharon S. Richardson Community Hospice",VITAS Healthcare,Healthcare Provider,3,Healthcare,"['Hospice Care', 'Palliative Care', 'End-of-Life Care']","VITAS Healthcare specializes in hospice and palliative care services, offering personalized care tailored to the needs and preferences of patients and their families. The company provides various services including hospice care at home, inpatient care, and interdisciplinary support from a team consisting of nurses, physicians, social workers, aides, and chaplains. VITAS also emphasizes emotional and spiritual care, along with specialized programs such as music therapy and pet visits. The organization is committed to offering support 24/7 and ensuring quality of life for patients facing end-of-life challenges.",none,TRUE,https://www.vitas.com/locations-search/milwaukee?gclsrc=aw.ds&gad_source=1&gclid=CjwKCAiApY-7BhBjEiwAQMrrETx9lGtXscH24jQBIUr6280YmfvsT6_RMRTQSkexsQohs4B_nOR6NhoC2ecQAvD_BwE,
Diagnostics Longwood,Diagnóstica Longwood,Laboratory,6,Molecular Diagnostics,"['Molecular Diagnostics', 'Forensic Genetics', 'Immunology and Transplantation', 'Hematology', 'Oncology', 'Microbiology']","Diagnóstica Longwood is a laboratory specializing in molecular diagnostics and a comprehensive range of testing services. The company offers expertise in areas such as Molecular Genetics including Prenatal Diagnosis and Pharmacogenomics; Immunology focusing on HLA Typing and Alloantibodies Detection; and Hematology services such as Blood Group Genotyping. They are committed to providing personalized service with highly qualified personnel and technical support. Additionally, they emphasize quality and compliance within their operations, holding a Quality Certificate ISO 9001. Diagnóstica Longwood also provides preanalytics services including blood collection, sample extraction and transportation, and offers various products for diagnostic and research laboratories.",none,TRUE,https://www.dlongwood.com/en/,
Nonin Medical,"Nonin Medical, Inc.",Medical Device,26,Healthcare / Medical Devices,"['Pulse Oximetry', 'Capnography', 'Sensors']","Nonin Medical, Inc. is a leading provider of innovative, noninvasive monitoring solutions that enhance patient care. The company specializes in pulse oximetry, regional oximetry, and capnography through a range of products designed for healthcare professionals and homecare settings. Nonin's products include various models of pulse oximeters, capnographs, and sensors that deliver accurate and reliable measurements of blood oxygen levels and pulse rates, even in challenging conditions. Nonin is dedicated to health equity, ensuring accurate readings across diverse patient demographics and offering FDA-cleared devices for over-the-counter use. Their commitment to continuous improvement and reliability positions them as a trusted partner in the medical device industry.",none,TRUE,https://www.nonin.com/,
Redefine Management,Redefine Management,Consulting,44,Healthcare Consulting and Management,"['Healthcare consulting', 'strategy & finance', 'operations', 'marketing & sales', 'mergers & acquisitions', 'revenue cycle management', 'people & organizational performance', 'data & analytics', 'compliance & risk management.']","Redefine Management is a healthcare consulting and management company dedicated to providing innovative and customized solutions that promote operational excellence, financial viability, and sustainable growth. The firm caters to a diverse clientele, including medical provider groups, outpatient services, and private equity-backed practices. Their services encompass a wide range of specialties, such as growth, strategy & finance, operations, marketing, mergers & acquisitions, and revenue cycle management. The company is committed to helping healthcare organizations unlock their full potential, boasting significant achievements like $100 million in cost savings and a 30% increase in patient satisfaction scores post-consulting implementation.",none,TRUE,https://redefinemanagement.com/,
Acquired by RxLive,"RxLive, Inc.",Healthcare,198,Telehealth and Pharmacy Services,"['Telehealth', 'Pharmacy', 'Value-Based Pharmacy', 'Medication Management', 'Clinical Pharmacy Solutions']","RxLive, Inc. is a healthcare company focused on redefining the practice of value-based pharmacy. It integrates clinical pharmacists into healthcare teams to provide significant financial and clinical value. Their suite of services includes telehealth solutions, software to support pharmacy teams, and analytics to ensure the right pharmacist-led interventions are delivered to patients in a timely manner. RxLive aids in reducing drug costs, decreasing hospital admissions and readmissions, and improving overall quality performance, making it an essential partner for providers, employers, payers, and patients seeking to enhance medication management and optimize healthcare outcomes.",none,TRUE,https://rxlive.com/,
Tonix Pharmaceuticals Holding Corp.,Tonix Pharmaceuticals,Pharmaceutical,24,Biotechnology / Pharmaceuticals,"['Central Nervous System Disorders', 'Immunology', 'Infectious Disease', 'Rare Diseases']","Tonix Pharmaceuticals is a biopharmaceutical company focused on developing innovative therapies for various challenging medical conditions. It has a robust pipeline that includes investigational new drugs and biologics aimed at treating disorders related to the central nervous system (such as fibromyalgia and cocaine intoxication), immunological issues (including organ transplant rejection and autoimmune disorders), and infectious diseases (like COVID-19 and monkeypox). Tonix also markets two FDA-approved products for acute migraine in adults. The company is committed to addressing the needs of patients suffering from both common and rare diseases, with a goal of achieving FDA approval for its treatments and improving patient care through scientific advancements.",None,TRUE,https://www.tonixpharma.com/,
Tonix Pharmaceuticals,Tonix Pharmaceuticals,Pharmaceutical,24,Biotechnology / Pharmaceuticals,"['Research and development of therapeutics in central nervous system disorders', 'immunology', 'infectious diseases', 'and rare diseases; development of FDA-approved products for acute migraine.']",,none,TRUE,https://www.tonixpharma.com/,
YUMAB,YUMAB GmbH,Pharmaceutical,24,Biotechnology,"['Therapeutic antibody discovery and development', 'Antibody Libraries', 'Antibody Engineering', 'Antibody Humanization', 'Contract research and R&D services']","YUMAB GmbH specializes in the discovery and development of therapeutic antibodies. The company offers a comprehensive discovery platform that facilitates access to challenging targets and accelerates the development of fully human antibodies. With almost 30 years of expertise in antibody research, YUMAB provides individually designed contract research projects and R&D services focused on antibody engineering. Leveraging advanced technologies such as powerful in-vitro selection and high throughput screening, YUMAB aims to bridge the gap between research innovation and novel therapies, serving as a trusted partner for biotech and pharma teams worldwide.",none,TRUE,http://www.yumab.com,
VectorCare,VectorCare,Healthcare IT,203,Healthcare Technology / Patient Logistics,"['Patient logistics', 'transportation management', 'home health services', 'Durable Medical Equipment (DME) coordination', 'real-time messaging', 'operational efficiency']",,none,TRUE,https://www.vectorcare.com/,
Network Advertising Initiative,VectorCare,Healthcare,198,Healthcare Technology,"['Patient logistics', 'transportation', 'home health coordination', 'Durable Medical Equipment (DME) management', 'Non-Emergency Medical Transportation (NEMT)']","VectorCare is a comprehensive platform that accelerates the future of patient logistics by simplifying the process from transportation to home health and DME management. It aims to reduce delays, lower costs, and improve patient outcomes. With features allowing healthcare providers to book and manage rides in under 3 minutes, the platform enhances operational efficiency and cuts scheduling time by over 90%, saving hospitals significant labor and bed costs annually. Additionally, VectorCare integrates with other systems, supports real-time messaging, and offers solutions for various stakeholders, including hospitals, home health agencies, payers, and military services. The platform includes tools for automated dispatching, compliance management, payment and invoicing, and insights via machine learning, ultimately allowing healthcare teams to focus on delivering better patient care.",none,TRUE,https://www.vectorcare.com/,
Acquired by MedCurrent Corporation,MedCurrent,Healthcare IT,203,Education and Healthcare,"['Clinical Decision Support (CDS)', 'ROI Optimization', 'Value-Based Care Models', 'Quality of Patient Care Improvement']","MedCurrent is a healthcare technology startup focused on improving the quality of care and reducing costs for healthcare providers. The company offers innovative and scalable Clinical Decision Support (CDS) solutions, including OrderWise® and iRefer CDS, designed to enhance clinical decision-making with real-time, evidence-based guidance. MedCurrent aims to satisfy CMS mandates and Meaningful Use requirements while engaging physicians and driving clinical process improvements. The company's recent acquisition by VitalHub further strengthens its capability to optimize ROI and value-based care models in the healthcare sector.",none,TRUE,https://www.medcurrent.com/,
Keio University School of Medicine,Keio University School of Medicine,University,209,Private Equity,"['Medicine', 'Medical Research', 'Medical Education', 'Preventive Medicine']","Keio University School of Medicine, established in 1917, is a premier institution in Japan providing advanced medical education and conducting world-leading medical research. As a key player in the medical field, it offers a diverse range of programs including undergraduate medical education, graduate studies (MD-PhD, Master's, PhD), and clinical electives. The school emphasizes a strong integration of basic medical research and clinical practice, aspiring to bridge the gap between these disciplines. Additionally, it is involved in various research initiatives and collaborations, contributing significantly to advancements in medical care and preventive medicine in Japan and beyond.",1917,FALSE,https://www.med.keio.ac.jp/en/,
Platinum Equity,Platinum Equity,Finance,12,Healthcare / Fitness Technology,"['Private equity', 'Credit']","Platinum Equity is a global investment firm that specializes in private equity and credit, managing over $48 billion in diversified assets. Founded in 1995, the company employs a unique operational strategy known as M&A&O® (Mergers, Acquisitions, and Operations) that focuses on investing in and transforming companies across various industries. Platinum Equity is committed to unlocking the potential of its portfolio companies, offering financial and operational support to help them achieve market leadership and create lasting value. The firm actively engages in acquiring companies, providing them with the necessary resources and expertise to drive growth and improve operational efficiencies.",none,TRUE,https://www.platinumequity.com/,
"GENEFIT, Cesena FC",GENEFIT,Healthcare IT,203,Healthcare / Regenerative Medicine,"['Genetic testing', 'performance optimization', 'injury risk assessment', 'fitness tracking']","GENEFIT is a pioneering health technology company that offers the world’s first app providing daily, gene-informed performance scores, instant feedback, and proactive injury risk alerts. It utilizes an individual's genetic makeup, injury history, and wearable device data to deliver personalized insights aimed at enhancing fitness and training effectiveness. GENEFIT provides users with session scores, feedback on workouts, and recommendations tailored to their genetic strengths and weaknesses across 19 pathways related to athletic performance. The app is designed to help athletes prevent injuries, optimize their training sessions, and track their performance over time. Its services include the GENEFIT GOLD subscription for deeper insights and personalized feedback.",none,TRUE,https://genefit.pro/,
Cellsource,"セルソース株式会社 (CellSource Co., Ltd.)",Healthcare Provider,3,Healthcare / Regenerative Medicine,"['Rejuvenation medicine', 'Fat-derived stem cell processing contract services', 'Blood-derived processing contract services', 'Support services for compliance with regenerative medicine laws']",,none,TRUE,https://www.cellsource.co.jp,
Cellsource,"セルソース株式会社 (CellSource Co., Ltd.)",Healthcare Provider,3,Network Automation Technology,"['Regenerative medicine related services', 'consumer services (cosmetics)', 'and regenerative medicine center.']","CellSource Co., Ltd. focuses on revolutionizing healthcare by providing innovative regenerative medicine solutions. The company offers various services including contract processing services for fat-derived stem cells and blood-derived products, as well as regulatory support services related to regenerative medicine. Additionally, CellSource operates a regenerative medicine center and is involved in consumer goods, particularly in the cosmetics sector. The company's mission emphasizes freedom for all lives and a commitment to transforming healthcare through sustainable practices.",none,TRUE,https://www.cellsource.co.jp,
Myanmar nursing and caregiving professional training institute,,,#N/A,,,,,TRUE,,
Gluware,"Gluware, Inc.",Healthcare IT,203,Financial Services / Lending Technology,"['Intelligent Network Automation', 'Network Configuration', 'OS Upgrades', 'Compliance Checks', 'Digital Transformation.']","Gluware is a leader in intelligent network automation tailored for the cloud era. As part of the Bain Capital Portfolio, Gluware helps organizations automate network configuration changes and conduct recurring audit and compliance checks, leading to substantial time and cost savings. Their innovative products include the Device Interaction and Automation Layer (DIAL™), Config Drift and Audit applications, OS Manager, and other solutions aimed at enhancing network operational efficiency. Gluware supports industries such as healthcare, finance, pharmaceuticals, and energy, enabling them to achieve digital transformation and maintain robust network performance with minimal errors.",None,TRUE,https://www.gluware.com/,
Lenders Cooperative,Lenders Cooperative,Finance,12,Financial Services and Brokerage,"['End to End Lending Platform', 'Credit Underwriting', 'SBA LSP Services', 'Bank Operations', 'Call-Center Operations', 'Loan Servicing', 'Fraud Framework']","Lenders Cooperative is a financial services company providing an easy-to-use and fully integrated commercial lending platform built by bankers for bankers. It offers a comprehensive range of services that include credit underwriting, loan servicing, and SBA LSP services. Lenders Cooperative aims to streamline operations, empower community lenders, and navigate regulations seamlessly, ensuring efficient management of the entire loan lifecycle with a focus on supporting small business borrowers. Additionally, it collaborates with Wolters Kluwer to offer tools for collecting and submitting Beneficial Owner information to FinCEN.",none,TRUE,https://www.lenderscooperative.com/,
BGC Group,BGC Group,Finance,12,Healthcare / Medical Research,"['Trade execution', 'broker-dealer services', 'clearing', 'processing', 'financial technology solutions', 'market data and analytics', 'asset classes including fixed income', 'foreign exchange', 'equities', 'commodities.']","BGC Group is a pioneering global brokerage and financial technology company headquartered in London and New York. The company provides a comprehensive range of services that include trade execution, broker-dealer services, clearing, and processing, alongside offering advanced financial technology solutions through platforms like BGC Trader and BGC Market Data. BGC Group services a diverse customer base including major banks, investment firms, and governments, providing access to more than 200 financial products such as fixed income securities, interest rate swaps, foreign exchange, and equities. With a robust commitment to technology and top-tier talent, BGC focuses on delivering innovative and effective solutions to the complex needs of its clients.",2004,TRUE,http://www.bgcpartners.com/,
"Korea Breast Cancer Foundation, Korean Breast Cancer Society, Korean Cancer Association",한국유방암학회 (Korean Breast Cancer Society),Association,7,Education / Healthcare,"['Breast cancer research', 'education', 'clinical guidelines', 'support for young researchers', 'publications related to breast cancer', 'webinars', 'and educational programs.']","The Korean Breast Cancer Society (KBCS) is dedicated to the advancement of breast cancer research and the dissemination of knowledge related to the disease. The society provides a range of services including clinical practice guidelines, educational programs, and access to scientific publications such as the Journal of Breast Cancer and Journal of Breast Disease. It also organizes academic events and webinars to foster learning and knowledge-sharing within the breast cancer community. The society actively supports young researchers and promotes initiatives like the ""Small Promise of Sharing"" campaign, emphasizing community involvement in advancing breast cancer care and research. Based in Seoul, KBCS collaborates with various national and international organizations to enhance the understanding and treatment of breast cancer.",none,TRUE,http://www.kbcs.or.kr/,
Ulsan University College of Medicine,,,#N/A,,,,,TRUE,http://medicine.ulsan.ac.kr/,
"Ulsan University College of Medicine, Meteobiotech, National Model Animal Research Institute",University of Ulsan College of Medicine,Academia,127,Education / Healthcare,"['Medical education', 'research in medicine and healthcare', 'community service', 'hands-on training in medical disciplines.']","The University of Ulsan College of Medicine, located in Ulsan, South Korea, is a prestigious institution dedicated to training medical professionals and advancing the field of medicine through research and innovation. The college offers a comprehensive curriculum covering disciplines such as anatomy, biochemistry, pathology, pharmacology, and clinical medicine. Students receive hands-on training in state-of-the-art facilities while benefiting from a focus on interprofessional education to improve patient care outcomes. The college is actively involved in various research projects across fields including genetics, cancer biology, infectious diseases, and neurology, and collaborates with other institutions to enhance research capabilities. Additionally, it emphasizes community service by providing free medical services to underprivileged populations through outreach programs. Overall, the University of Ulsan College of Medicine is committed to excellence, innovation, and compassion in medical education and practice.",1982,FALSE,https://medicaleducator.co.uk/directory/university-of-ulsan-college-of-medicine/,
Rocket Genomics,ROKIT Genomics,Genomics,50,Genomics and Biotechnology,"['Single Cell Sequencing', 'Genome Sequencing', 'Transcriptome Sequencing', 'Epigenome Sequencing', 'Metagenome Sequencing']","ROKIT Genomics is a company focused on advancements in genomics, offering a range of high-throughput sequencing services. Their products and services include Single Cell Sequencing, which allows for the study of individual cells' genomics; Genome Sequencing for comprehensive DNA analysis; Transcriptome Sequencing to study gene expression; Epigenome Sequencing for modifications and regulatory elements; and Metagenome Sequencing for understanding the genetic material of entire communities. ROKIT Genomics aims to support research and applications across various fields in genomics to provide insights into biological systems and improve healthcare outcomes.",none,TRUE,https://www.rokitgenomics.com/ko/pr_center.html,
